Category,Country,Tourists,Locals,Latitude,Longitude
Overtourism,Croatia,57587000,4170600,45.1000,15.2000
Overtourism,Iceland,1891000,334250,64.9631,-19.0208
Overtourism,Hungary,52890000,9817960,47.1625,19.5033
Overtourism,Denmark,28692000,5731120,56.2639,9.5018
Overtourism,France,202930000,66896110,46.6034,1.8883
Overtourism,Czech Republic,30915000,10561630,49.7439,15.3381
Overtourism,Singapore,16404000,5607280,1.3571,103.8195
Overtourism,Cyprus,3286000,1170130,34.9823,33.1451
Overtourism,Greece,28071000,10746740,38.9954,21.9877
Overtourism,Spain,115561000,46443960,39.3261,-4.8380
,,,,,
